#bin,name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,score,name2,cdsStartStat,cdsEndStat,exonFrames
"673","ENST00000463397.3","chr2","+","11584772","11585047","11584772","11584772","1","11584772,","11585047,","0","RN7SL674P","none","none","-1,"
"673","ENST00000432985.1","chr2","+","11588255","11610742","11588684","11610742","9","11588255,11592775,11595250,11596110,11597780,11598679,11600799,11602405,11610687,","11588931,11593126,11595379,11596239,11597978,11598860,11600995,11602542,11610742,","0","GREB1","cmpl","cmpl","0,1,1,1,1,1,2,0,2,"
"673","ENST00000396123.2","chr2","+","11612258","11642788","11612494","11640454","16","11612258,11612494,11615090,11616630,11618287,11620904,11625153,11626961,11629947,11631908,11632888,11634130,11635269,11637715,11638670,11640290,","11612376,11612610,11615290,11616720,11618919,11621007,11625312,11627104,11630109,11632113,11633063,11634349,11635405,11637916,11638809,11642788,","0","GREB1","cmpl","cmpl","-1,0,2,1,1,0,1,1,0,0,1,2,2,0,0,1,"
"673","ENST00000472040.1","chr2","+","11612342","11618300","11612342","11612342","4","11612342,11615090,11616630,11618287,","11612610,11615290,11616720,11618300,","0","GREB1","none","none","-1,-1,-1,-1,"
"673","ENST00000793551.1","chr2","+","11656784","11658839","11656784","11656784","2","11656784,11658586,","11657157,11658839,","0","ENSG00000303313","none","none","-1,-1,"
"84","ENST00000306928.6","chr2","-","11658177","11670195","11658478","11670129","4","11658177,11660042,11661966,11669505,","11658722,11660133,11662240,11670195,","0","NTSR2","cmpl","cmpl","2,1,0,0,"
"84","ENST00000950908.1","chr2","-","11658180","11670194","11658478","11670129","5","11658180,11660042,11660631,11662024,11669505,","11658722,11660133,11660737,11662240,11670194,","0","NTSR2","cmpl","cmpl","2,1,0,0,0,"
"674","ENST00000617634.1","chr2","-","11673963","11676925","11673963","11673963","2","11673963,11676853,","11674487,11676925,","0","ENSG00000276411","none","none","-1,-1,"
"84","ENST00000852426.1","chr2","+","11677543","11826537","11765541","11824791","22","11677543,11713755,11765532,11767762,11771371,11773619,11776088,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11677728,11713812,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826537,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000961822.1","chr2","+","11677543","11827392","11765541","11824791","21","11677543,11713755,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11677728,11713812,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827392,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000961823.1","chr2","+","11677545","11827392","11765541","11824791","21","11677545,11713755,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11677613,11713812,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827392,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000449576.6","chr2","+","11677594","11824887","11677647","11824791","22","11677594,11713755,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11677728,11713812,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11824887,","0","LPIN1","cmpl","cmpl","0,0,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"674","ENST00000455754.3","chr2","+","11681419","11683323","11681419","11681419","2","11681419,11682297,","11681492,11683323,","0","ENSG00000228496","none","none","-1,-1,"
"674","ENST00000827420.1","chr2","+","11681439","11703161","11681439","11681439","3","11681439,11683645,11702936,","11681492,11683693,11703161,","0","ENSG00000228496","none","none","-1,-1,-1,"
"674","ENST00000435175.1","chr2","+","11681460","11683328","11681460","11681460","2","11681460,11682190,","11681492,11683328,","0","ENSG00000228496","none","none","-1,-1,"
"84","ENST00000852427.1","chr2","+","11716142","11827409","11765541","11824791","20","11716142,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11716296,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827409,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000961824.1","chr2","+","11716240","11826486","11765541","11824791","21","11716240,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11716296,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826486,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"674","ENST00000430048.1","chr2","-","11721618","11724222","11721618","11721618","2","11721618,11723511,","11722512,11724222,","0","ENSG00000203643","none","none","-1,-1,"
"84","ENST00000396097.5","chr2","+","11724333","11827405","11741419","11824791","22","11724333,11741348,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11724539,11741428,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827405,","0","LPIN1","cmpl","cmpl","-1,0,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000425416.6","chr2","+","11724333","11827405","11741419","11824791","21","11724333,11741348,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11724539,11741428,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827405,","0","LPIN1","cmpl","cmpl","-1,0,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"674","ENST00000495907.5","chr2","+","11724348","11765599","11724348","11724348","4","11724348,11741348,11742014,11765532,","11724642,11741428,11742151,11765599,","0","LPIN1","none","none","-1,-1,-1,-1,"
"674","ENST00000464517.5","chr2","+","11724349","11746130","11724349","11724349","3","11724349,11741348,11745906,","11724642,11741428,11746130,","0","LPIN1","none","none","-1,-1,-1,"
"674","ENST00000480315.1","chr2","+","11724349","11746130","11724349","11724349","3","11724349,11741348,11745960,","11724642,11741428,11746130,","0","LPIN1","none","none","-1,-1,-1,"
"674","ENST00000396098.5","chr2","+","11724351","11783945","11741419","11783926","10","11724351,11741348,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,","11724642,11741428,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783945,","0","LPIN1","cmpl","cmpl","-1,0,0,0,0,2,2,2,0,1,"
"84","ENST00000396099.5","chr2","+","11724351","11824863","11741419","11804502","22","11724351,11741348,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804427,11805069,11815087,11819483,11820410,11824631,","11724642,11741428,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11824863,","0","LPIN1","cmpl","cmpl","-1,0,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,-1,-1,-1,-1,-1,"
"674","ENST00000431500.2","chr2","-","11740996","11745301","11740996","11740996","3","11740996,11742036,11745166,","11741302,11742156,11745301,","0","ENSG00000230790","none","none","-1,-1,-1,"
"84","ENST00000961825.1","chr2","+","11744318","11826511","11765541","11824791","21","11744318,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11744402,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826511,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000961826.1","chr2","+","11746584","11827405","11765541","11824791","22","11746584,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11805539,11815087,11819483,11820410,11824631,","11746671,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11805719,11815240,11819598,11820514,11827405,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,2,0,2,"
"84","ENST00000256720.6","chr2","+","11746587","11827409","11765541","11824791","20","11746587,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746671,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827409,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000852433.1","chr2","+","11746592","11826513","11765541","11824791","20","11746592,11765538,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746671,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826513,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000852432.1","chr2","+","11746595","11826537","11765541","11824791","18","11746595,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11824631,","11746671,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11826537,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,"
"84","ENST00000852428.1","chr2","+","11746595","11827397","11765541","11824791","21","11746595,11765532,11767762,11771371,11773619,11776088,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746671,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827397,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000961829.1","chr2","+","11746601","11826537","11765541","11824791","22","11746601,11755746,11765532,11767762,11771371,11773619,11776088,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746671,11755864,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826537,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000852429.1","chr2","+","11746601","11827395","11765541","11824791","22","11746601,11755746,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746671,11755864,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827395,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000961828.1","chr2","+","11746624","11827383","11765541","11824791","20","11746624,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11819483,11820410,11824631,","11746671,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11819598,11820514,11827383,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,0,2,"
"84","ENST00000852430.1","chr2","+","11746624","11827388","11765541","11824791","21","11746624,11755746,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746671,11755864,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827388,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000852442.1","chr2","+","11746629","11825997","11765541","11824791","22","11746629,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11805524,11815087,11819483,11820410,11824631,","11746671,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11805719,11815240,11819598,11820514,11825997,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,2,0,2,"
"84","ENST00000852434.1","chr2","+","11746629","11826539","11765541","11824791","19","11746629,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11824631,","11746671,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11826539,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,"
"84","ENST00000674199.1","chr2","+","11746631","11827409","11765541","11824791","21","11746631,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746671,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827409,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"674","ENST00000441684.5","chr2","+","11746633","11767858","11765541","11767858","4","11746633,11763022,11765532,11767762,","11746671,11763286,11765733,11767858,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,"
"84","ENST00000961827.1","chr2","+","11746634","11827405","11765541","11824791","22","11746634,11755742,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746671,11755864,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827405,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"674","ENST00000423495.1","chr2","+","11746637","11765625","11765541","11765625","4","11746637,11763022,11764203,11765532,","11746671,11763286,11764289,11765625,","0","LPIN1","cmpl","cmpl","-1,-1,-1,0,"
"84","ENST00000852441.1","chr2","+","11746637","11826420","11765541","11824791","21","11746637,11755742,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746671,11755864,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826420,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000852435.1","chr2","+","11746637","11826537","11765541","11824791","16","11746637,11765532,11767762,11771371,11773619,11776088,11779518,11782200,11783828,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746671,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11803033,11804571,11805156,11815240,11819598,11820514,11826537,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,2,0,1,2,0,2,2,2,0,2,"
"84","ENST00000852436.1","chr2","+","11746637","11826537","11765541","11824791","21","11746637,11755746,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746671,11756247,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826537,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000852437.1","chr2","+","11746663","11826537","11765541","11824791","20","11746663,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746725,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826537,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000852438.1","chr2","+","11746670","11826537","11765541","11824791","21","11746670,11763022,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746725,11763286,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826537,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000914304.1","chr2","+","11746671","11827409","11765541","11824791","20","11746671,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11747040,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827409,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000961832.1","chr2","+","11746673","11826513","11765541","11824791","21","11746673,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11747040,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826513,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000852439.1","chr2","+","11746673","11826537","11765541","11824791","21","11746673,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746725,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826537,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000852440.1","chr2","+","11746673","11826537","11765541","11824791","22","11746673,11763022,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11746725,11763286,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826537,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000961830.1","chr2","+","11746673","11826537","11765541","11824791","20","11746673,11765532,11767762,11771371,11773619,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11748099,11765733,11767858,11771679,11773745,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826537,","0","LPIN1","cmpl","cmpl","-1,0,0,0,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000961831.1","chr2","+","11746674","11826537","11765541","11824791","22","11746674,11755746,11765532,11767762,11771371,11773619,11776085,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11747040,11755864,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11826537,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"84","ENST00000852431.1","chr2","+","11746750","11827399","11765541","11824791","22","11746750,11763022,11765532,11767762,11771371,11773619,11776088,11779518,11782200,11783828,11784885,11787073,11788386,11791913,11795407,11802906,11804422,11805069,11815087,11819483,11820410,11824631,","11747040,11763286,11765733,11767858,11771679,11773745,11776193,11779645,11782507,11783922,11785076,11787167,11788456,11792006,11795487,11803033,11804571,11805156,11815240,11819598,11820514,11827399,","0","LPIN1","cmpl","cmpl","-1,-1,0,0,0,2,2,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,"
"674","ENST00000581352.1","chr2","+","11767443","11767525","11767443","11767443","1","11767443,","11767525,","0","MIR548S","none","none","-1,"
